m1 4.327412 
I4,xx 0.012593
m2 6.990093 
I4,xy −0.002378
m3 1.453501 
I4,xz 0.005175
m4 2.495117 
I4,yy 0.013977
m5 1.463685 
I4,yz 0.002782
m6 0.535484 
I4,zz 0.007174
m7 0.414342 
I5,xx 0.024067
c1,x −0.000237 
I5,xy −0.000901
c1,y 0.027464 
I5,xz −0.000411
c1,z −0.000510 
I5,yy 0.006554
c2,x 0.006341 
I5,yz −0.010511
c2,y −0.078281 
I5,zz 0.017884
c2,z 0.181806 
I6,xx 0.007701
c3,x −0.001616 
I6,xy −0.001011
c3,y 0.241064 
I6,xz 0.001449
c3,z 0.065227 
I6,yy 0.003049
c4,x 0.003828 
I6,yz 0.001540
c4,y −0.038670 
I6,zz 0.006941
c4,z 0.242516 
I7,xx 0.003495
c5,x −0.002197 
I7,xy −0.002318
c5,y −0.136560 
I7,xz 0.000483
c5,z −0.026532 
I7,yy 0.001854
c6,x 0.001000 
I7,yz 0.000623
c6,y 0.011957 
I7,zz 0.004954
c6,z 0.016761 
fc,1 0.209084 
c7,x −0.002105 
fv,1 0.150054 
c7,y −0.000751
fo,1 0.379595 
c7,z 0.055592 
fc,2 0.179344 
I1,xx 0.598562 
fv,2 0.136829 
I1,xy −0.001049 
fo,2 −0.043570 
I1,xz 0.004288 
fc,3 0.184555 
I1,yy 0.035545 
fv,3 0.082333 
I1,yz −0.099545 
fo,3 −0.080112 
I1,zz 0.565422 
fc,4 0.116567 
I2,xx 0.041663 
fv,4 0.142194 
I2,xy 0.025914 
fo,4 −0.012901 
I2,xz −0.007890 
fc,5 0.106777 
I2,yy 0.041160 
fv,5 0.075120 
I2,yz 0.010133 
fo,5 −0.116478 
I2,zz 0.054390 
fc,6 0.286661 
I3,xx 0.061423 
fv,6 0.152169 
I3,xy −0.008671 
fo,6 −0.092363 
I3,xz −0.004271 
fc,7 0.217348 
I3,yy 0.025989 
fv,7 0.097318 
I3,yz −0.019005 
fo,7 −0.123808 
I3,zz 0.039490
